total_messages,unique_payloads,duplicate_ratio,message_frequency,topic_frequency,payload_length,time_interval,label
108,97,0.1019,63.5584,67.1213,15,0.0081,2
24,2,0.9167,11.433,6.6562,14,0.081,1
37,33,0.1081,2.6011,1.4233,17,1.4363,0
89,73,0.1798,36.431,86.2335,22,0.0286,2
28,22,0.2143,0.7129,4.1063,13,0.9936,0
17,1,0.9412,8.2013,10.5206,20,0.1253,1
24,5,0.7917,8.203,5.4495,18,0.1834,1
22,5,0.7727,5.9018,13.424,22,0.1133,1
29,1,0.9655,6.7558,9.8333,28,0.1588,1
15,3,0.8,11.8449,12.83,21,0.0562,1
18,11,0.3889,4.7801,0.6106,14,0.6081,0
18,5,0.7222,10.5667,14.3489,22,0.179,1
151,135,0.106,60.4356,96.2839,23,0.0205,2
28,27,0.0357,3.6626,2.7453,18,0.2254,0
26,4,0.8462,10.9446,8.5444,14,0.0913,1
125,120,0.04,48.2513,50.6152,13,0.0151,2
31,25,0.1935,1.8593,0.8192,30,1.7623,0
151,120,0.2053,42.632,40.9027,19,0.0158,2
26,4,0.8462,12.8874,10.6923,27,0.1264,1
25,1,0.96,6.0528,9.5629,25,0.1981,1
186,149,0.1989,80.1954,70.0228,20,0.029,2
24,22,0.0833,3.2217,2.4607,12,1.8177,0
16,3,0.8125,11.1624,12.6262,14,0.063,1
22,22,0.0,3.3969,3.0562,21,0.2276,0
27,2,0.9259,11.1641,13.2638,12,0.0741,1
25,5,0.8,14.2272,5.064,12,0.0871,1
20,1,0.95,10.6027,5.1173,23,0.065,1
16,10,0.375,4.2503,4.5984,13,0.4944,0
24,24,0.0,2.2242,3.1258,12,1.7226,0
33,20,0.3939,4.1653,4.0592,15,1.0048,0
23,15,0.3478,2.1922,4.5938,29,1.4485,0
27,1,0.963,10.6991,7.3947,14,0.1382,1
21,2,0.9048,14.7604,5.0096,25,0.1915,1
194,175,0.0979,91.0494,84.0092,23,0.0208,2
31,22,0.2903,4.85,3.0638,29,0.6636,0
23,3,0.8696,12.1694,9.8984,12,0.0919,1
33,23,0.303,4.3651,0.6482,24,1.3988,0
29,24,0.1724,2.605,2.4006,13,1.7633,0
28,2,0.9286,13.4837,13.7566,14,0.1536,1
29,20,0.3103,1.3311,4.5497,29,0.8243,0
120,96,0.2,52.5815,88.5955,16,0.0246,2
190,160,0.1579,55.4581,56.4359,15,0.009,2
28,4,0.8571,12.2534,9.2329,30,0.0844,1
29,3,0.8966,14.8387,5.5123,14,0.0724,1
24,2,0.9167,6.1685,14.1208,26,0.1875,1
23,13,0.4348,3.4998,1.4073,16,0.8628,0
145,131,0.0966,52.9593,60.0043,25,0.0067,2
136,111,0.1838,94.1865,73.4348,22,0.02,2
21,1,0.9524,7.1656,6.1758,13,0.0505,1
15,12,0.2,1.1274,1.0309,26,1.9399,0
159,135,0.1509,76.472,47.0537,16,0.0088,2
195,183,0.0615,60.9267,41.0013,18,0.0282,2
23,2,0.913,7.1765,13.0637,15,0.1018,1
24,24,0.0,0.6257,2.9732,25,0.8261,0
99,89,0.101,76.3784,54.999,29,0.0102,2
168,147,0.125,80.0014,78.9516,22,0.0218,2
31,20,0.3548,3.982,4.8539,27,1.5701,0
28,3,0.8929,10.6971,8.3984,30,0.1129,1
20,13,0.35,0.6551,4.5368,18,0.5747,0
20,5,0.75,12.006,11.1796,18,0.0864,1
30,3,0.9,10.0006,12.4323,29,0.0757,1
16,10,0.375,0.5554,1.7686,17,1.5297,0
16,3,0.8125,10.2888,6.8968,15,0.1212,1
30,19,0.3667,0.6648,4.5395,21,0.787,0
176,157,0.108,80.4988,30.2234,18,0.0088,2
82,72,0.122,68.9212,52.0105,12,0.0152,2
26,5,0.8077,11.1897,11.6414,19,0.1488,1
25,4,0.84,13.0781,7.6679,20,0.1739,1
15,12,0.2,3.8191,4.9676,24,1.1381,0
17,1,0.9412,6.2533,7.3995,27,0.1252,1
30,5,0.8333,9.5725,8.3723,29,0.0671,1
18,5,0.7222,12.8215,5.5841,17,0.0601,1
194,173,0.1082,72.2325,91.8104,10,0.0289,2
159,148,0.0692,79.2994,63.9769,18,0.022,2
84,79,0.0595,77.809,78.6897,15,0.0142,2
26,20,0.2308,0.8246,2.8905,25,0.7389,0
20,16,0.2,4.1481,4.0019,13,0.2125,0
28,4,0.8571,11.1129,5.8774,18,0.1554,1
22,2,0.9091,5.2222,6.0617,11,0.1141,1
32,27,0.1562,3.4719,1.5281,26,0.771,0
16,15,0.0625,1.3412,2.2595,29,0.3013,0
135,111,0.1778,67.778,37.4886,19,0.0105,2
34,34,0.0,0.9584,1.0091,26,1.2892,0
100,82,0.18,30.46,88.3136,23,0.0146,2
106,91,0.1415,52.7465,39.5146,25,0.0256,2
30,18,0.4,3.5136,3.3399,25,0.4942,0
17,16,0.0588,4.3407,3.9097,28,0.6218,0
20,19,0.05,3.7964,3.4326,21,1.2411,0
20,2,0.9,13.949,11.4125,30,0.1273,1
178,151,0.1517,94.4923,57.8417,20,0.0062,2
27,25,0.0741,3.194,3.6528,19,1.3134,0
150,124,0.1733,93.4957,33.3419,25,0.007,2
107,89,0.1682,73.1739,33.0821,27,0.0066,2
38,34,0.1053,2.8123,3.7338,13,0.5157,0
24,3,0.875,7.5974,7.9342,17,0.1743,1
173,147,0.1503,81.217,55.8304,13,0.0143,2
21,2,0.9048,14.0322,12.6144,16,0.0783,1
21,14,0.3333,0.8127,4.7621,26,1.7079,0
106,102,0.0377,43.8584,33.8254,29,0.0234,2
19,16,0.1579,4.208,4.9464,30,0.2649,0
18,2,0.8889,13.6471,10.3261,29,0.1378,1
84,73,0.131,62.4817,42.756,18,0.0136,2
25,3,0.88,7.3966,12.7266,16,0.1305,1
15,12,0.2,4.1432,3.7961,11,1.3315,0
30,30,0.0,4.8964,4.4437,16,1.3344,0
20,17,0.15,0.5581,4.8377,14,1.7841,0
15,9,0.4,1.9998,2.8121,30,1.3908,0
189,183,0.0317,86.5743,47.1062,15,0.0162,2
30,18,0.4,1.866,1.9419,12,0.5798,0
15,1,0.9333,14.1837,11.6617,12,0.1152,1
194,179,0.0773,31.3364,44.3273,30,0.0191,2
22,22,0.0,3.2136,1.9038,12,1.9375,0
15,1,0.9333,7.0275,10.1024,12,0.0971,1
105,97,0.0762,82.2954,45.5771,19,0.0298,2
30,3,0.9,14.7553,5.203,30,0.1331,1
16,1,0.9375,8.2631,12.2633,21,0.1599,1
16,2,0.875,9.9958,8.813,24,0.0918,1
22,5,0.7727,5.3366,12.4416,25,0.0884,1
15,1,0.9333,9.1918,14.7657,13,0.0869,1
28,1,0.9643,13.1464,14.8562,28,0.0894,1
18,5,0.7222,5.6522,13.5952,24,0.1967,1
37,27,0.2703,2.9841,3.9346,28,1.2531,0
91,89,0.022,46.329,35.6348,27,0.0213,2
32,26,0.1875,1.4275,4.6644,18,0.9229,0
27,4,0.8519,10.3222,7.9022,10,0.1991,1
23,13,0.4348,1.4371,3.3157,17,1.8059,0
194,166,0.1443,84.355,75.3074,27,0.0076,2
27,5,0.8148,6.5678,9.9806,21,0.1061,1
28,2,0.9286,11.4534,14.476,24,0.1087,1
153,127,0.1699,46.2252,48.3456,26,0.0201,2
29,3,0.8966,11.477,13.0994,26,0.1175,1
15,3,0.8,14.4522,7.1178,12,0.1329,1
113,106,0.0619,33.5875,89.3354,16,0.0252,2
110,89,0.1909,69.3596,76.9315,11,0.0112,2
25,22,0.12,1.6572,4.1295,14,0.7046,0
27,5,0.8148,13.2758,9.9917,12,0.1171,1
146,127,0.1301,51.6759,36.4365,10,0.0204,2
26,22,0.1538,1.24,4.1333,24,1.5645,0
165,161,0.0242,33.668,54.9391,10,0.0104,2
26,2,0.9231,11.4885,13.9792,22,0.1243,1
81,73,0.0988,87.5903,60.9689,27,0.0257,2
39,31,0.2051,2.3762,2.6904,26,0.3135,0
138,125,0.0942,57.8617,67.827,29,0.0237,2
28,18,0.3571,3.3321,4.1218,10,1.7142,0
30,29,0.0333,1.7978,1.8038,26,0.3969,0
35,28,0.2,3.6328,2.0365,29,1.7479,0
199,166,0.1658,99.0917,65.9244,24,0.028,2
185,184,0.0054,33.0694,68.4029,19,0.0236,2
32,21,0.3438,1.2373,3.7206,14,0.5085,0
23,14,0.3913,4.0579,2.2613,26,0.9746,0
17,15,0.1176,3.331,4.3148,10,0.3826,0
30,23,0.2333,2.8713,3.8584,12,0.7104,0
26,15,0.4231,0.7774,2.9419,20,1.9244,0
19,3,0.8421,10.7463,14.2134,30,0.088,1
27,4,0.8519,6.8191,9.8565,29,0.146,1
25,2,0.92,10.0944,8.2382,20,0.1697,1
23,19,0.1739,1.825,2.6152,16,0.6842,0
97,89,0.0825,97.3759,48.1944,20,0.0298,2
17,16,0.0588,3.7239,1.6697,22,0.3886,0
17,13,0.2353,3.8621,4.1955,30,1.9495,0
27,4,0.8519,14.9475,5.4502,28,0.1034,1
23,5,0.7826,11.1438,14.3672,27,0.1227,1
24,3,0.875,12.248,9.4972,11,0.1294,1
30,20,0.3333,3.102,4.4896,27,0.9792,0
22,5,0.7727,11.5706,5.9314,15,0.1664,1
22,14,0.3636,2.5845,1.5673,14,1.8238,0
160,152,0.05,71.8686,41.2145,22,0.0271,2
21,1,0.9524,11.7811,7.7372,29,0.1491,1
27,21,0.2222,4.2656,0.8995,30,0.7485,0
147,146,0.0068,65.6231,62.6964,17,0.0292,2
29,24,0.1724,1.4091,3.287,27,1.0822,0
118,116,0.0169,65.2289,50.491,28,0.0255,2
122,105,0.1393,97.2119,79.8825,25,0.0246,2
157,142,0.0955,34.8709,57.2762,28,0.0247,2
29,2,0.931,6.7903,10.8899,23,0.1125,1
40,37,0.075,2.3003,2.1727,22,1.3938,0
25,3,0.88,12.2265,12.9289,19,0.1664,1
23,5,0.7826,5.7104,10.4106,25,0.1328,1
21,1,0.9524,6.6134,7.8347,29,0.1188,1
24,1,0.9583,10.1346,5.9044,18,0.0526,1
20,5,0.75,14.702,7.5343,19,0.167,1
20,3,0.85,12.2125,14.9428,25,0.1778,1
24,16,0.3333,2.3507,0.6698,30,1.1399,0
21,4,0.8095,7.7959,13.0522,24,0.1054,1
30,1,0.9667,10.2658,12.9693,10,0.1647,1
16,1,0.9375,13.7608,5.6398,20,0.0882,1
185,152,0.1784,47.0154,43.9106,27,0.0144,2
38,24,0.3684,3.6393,4.714,25,1.7956,0
20,4,0.8,10.764,10.3247,18,0.1205,1
22,5,0.7727,14.13,7.158,30,0.0964,1
17,14,0.1765,2.1206,1.3819,20,0.6593,0
22,4,0.8182,13.372,9.7522,23,0.1568,1
24,5,0.7917,9.1238,13.6821,17,0.1699,1
40,39,0.025,4.7348,1.7593,11,0.8361,0
121,121,0.0,73.0829,32.8969,14,0.0297,2
27,27,0.0,1.6325,0.6063,10,0.5473,0
15,4,0.7333,8.9162,7.1337,27,0.0864,1
154,130,0.1558,54.6573,68.4704,10,0.0136,2
118,95,0.1949,54.4292,35.817,22,0.0057,2
19,4,0.7895,14.3613,14.1561,11,0.0769,1
40,36,0.1,1.9387,3.2197,29,0.5035,0
31,21,0.3226,4.768,2.6386,23,1.6259,0
183,156,0.1475,81.5313,50.7833,29,0.0261,2
39,28,0.2821,2.8223,0.6351,27,0.3208,0
143,131,0.0839,95.4866,91.7024,29,0.0117,2
22,15,0.3182,2.1232,1.5485,10,1.1894,0
37,34,0.0811,2.7612,1.1005,19,1.772,0
34,25,0.2647,3.5693,3.4832,13,1.8948,0
16,1,0.9375,10.1946,5.2542,19,0.1908,1
138,129,0.0652,69.4883,94.7073,25,0.0283,2
143,136,0.049,33.5961,34.6155,12,0.0268,2
88,83,0.0568,93.802,77.2591,28,0.0285,2
38,29,0.2368,2.8217,1.6838,16,0.6512,0
18,15,0.1667,3.905,1.5027,27,0.4663,0
19,5,0.7368,9.2829,8.8081,13,0.0684,1
19,17,0.1053,4.3989,4.6612,26,1.5268,0
22,5,0.7727,11.9599,9.0947,18,0.1922,1
111,100,0.0991,92.5215,88.4733,25,0.0088,2
17,4,0.7647,9.0169,9.957,27,0.0859,1
29,2,0.931,12.7567,14.3486,14,0.0527,1
141,113,0.1986,65.4216,95.273,26,0.0166,2
15,4,0.7333,9.1922,10.8514,10,0.1058,1
29,29,0.0,4.638,4.0602,21,1.7985,0
24,17,0.2917,0.9707,0.6427,14,1.3918,0
101,91,0.099,54.5635,72.6124,14,0.0252,2
30,4,0.8667,14.065,8.6893,23,0.0539,1
140,126,0.1,87.8264,49.8678,28,0.0202,2
32,30,0.0625,3.9905,1.5539,16,0.3604,0
195,177,0.0923,66.7648,40.4961,22,0.011,2
24,17,0.2917,2.5113,2.7998,24,0.6392,0
27,2,0.9259,12.7129,7.7261,17,0.0587,1
130,116,0.1077,56.8563,81.0569,17,0.0066,2
26,5,0.8077,14.1376,6.3439,30,0.0919,1
113,90,0.2035,60.2437,34.0487,12,0.0066,2
25,25,0.0,1.4523,2.0178,20,1.1101,0
127,126,0.0079,70.3009,54.3241,23,0.0051,2
195,161,0.1744,36.0791,98.4743,11,0.0144,2
30,29,0.0333,3.1779,3.3459,23,0.843,0
17,2,0.8824,7.8098,10.4083,19,0.1217,1
17,2,0.8824,13.1706,12.6753,22,0.1284,1
29,25,0.1379,1.5186,2.7934,15,1.8285,0
19,13,0.3158,3.581,3.9119,22,1.3067,0
192,161,0.1615,70.2095,63.2749,14,0.013,2
190,179,0.0579,39.1629,83.3034,26,0.0169,2
23,2,0.913,7.7825,7.3536,18,0.1709,1
101,90,0.1089,70.3288,43.1823,30,0.017,2
26,25,0.0385,1.5941,2.3438,20,0.9696,0
15,3,0.8,10.7843,12.3132,25,0.0648,1
186,178,0.043,91.5111,99.9998,12,0.024,2
182,156,0.1429,37.519,99.1277,11,0.0216,2
30,5,0.8333,14.9382,5.6441,22,0.1648,1
139,138,0.0072,70.1538,93.8219,30,0.0204,2
193,173,0.1036,35.8998,90.9705,20,0.011,2
20,4,0.8,8.616,8.0744,25,0.0657,1
35,33,0.0571,1.1999,2.0426,18,1.5318,0
19,16,0.1579,2.464,1.1367,16,1.5353,0
174,148,0.1494,66.9661,71.7413,27,0.0125,2
25,2,0.92,6.1901,11.943,15,0.1206,1
40,27,0.325,4.0428,3.0189,15,0.5664,0
23,4,0.8261,11.2577,12.6187,14,0.0699,1
21,19,0.0952,2.0692,3.6876,25,0.3669,0
21,2,0.9048,12.8713,5.2373,13,0.116,1
30,26,0.1333,2.005,4.9011,17,1.5322,0
15,15,0.0,4.4803,3.0634,17,1.4093,0
199,171,0.1407,37.5071,42.1664,19,0.0203,2
139,115,0.1727,48.4508,90.9144,10,0.0281,2
165,146,0.1152,41.084,47.416,12,0.0266,2
35,30,0.1429,2.9768,1.9688,30,0.2471,0
26,1,0.9615,9.2301,9.3149,15,0.1355,1
39,34,0.1282,2.2164,4.3002,26,1.3099,0
28,26,0.0714,2.6507,2.4322,26,1.2601,0
22,14,0.3636,4.5884,2.2405,26,1.1442,0
24,24,0.0,3.0595,1.9657,21,1.4759,0
16,1,0.9375,7.1518,7.4466,16,0.0697,1
166,132,0.2048,54.0438,55.935,14,0.022,2
19,3,0.8421,9.7391,13.5627,19,0.0876,1
200,199,0.005,38.6866,94.7655,26,0.0067,2
21,19,0.0952,4.7535,0.7065,14,0.2435,0
24,4,0.8333,12.183,9.6026,30,0.1028,1
18,3,0.8333,9.2701,12.0764,21,0.1411,1
22,16,0.2727,2.4359,4.5259,19,0.4769,0
80,67,0.1625,49.9519,54.4526,27,0.018,2
15,5,0.6667,9.4807,5.9614,14,0.1514,1
20,5,0.75,6.575,13.8198,29,0.1355,1
173,160,0.0751,76.0255,88.313,13,0.0289,2
25,1,0.96,6.7841,8.6422,13,0.1322,1
140,116,0.1714,32.0278,76.4599,23,0.0218,2
34,31,0.0882,4.8336,4.1536,29,0.8713,0
138,121,0.1232,39.5449,62.5471,22,0.0286,2
153,142,0.0719,48.9091,35.4985,26,0.0092,2
26,15,0.4231,1.975,4.0384,21,0.4031,0
25,15,0.4,1.1824,4.8768,10,0.3998,0
194,169,0.1289,34.1533,60.9959,14,0.0122,2
30,28,0.0667,4.1846,1.1318,30,0.3829,0
98,98,0.0,79.5333,81.1441,23,0.0294,2
23,21,0.087,4.2569,1.51,27,1.8916,0
20,14,0.3,4.7205,4.2502,29,0.7953,0
31,23,0.2581,2.1116,2.409,20,0.2284,0
29,5,0.8276,7.8666,9.8697,12,0.092,1
25,3,0.88,7.2797,13.6633,23,0.1635,1
19,3,0.8421,9.21,12.5512,15,0.1662,1
27,20,0.2593,2.37,0.9246,29,0.7035,0
15,13,0.1333,4.9508,1.8608,22,1.7874,0
21,4,0.8095,7.9749,11.4329,27,0.1378,1
160,151,0.0563,74.2083,83.0322,24,0.0233,2
166,164,0.012,99.4234,97.3716,30,0.018,2
32,19,0.4062,1.444,2.7129,18,0.5213,0
117,102,0.1282,97.3509,47.9622,23,0.0172,2
16,1,0.9375,10.1096,11.3833,16,0.1131,1
94,91,0.0319,71.0497,49.3085,12,0.0126,2
20,12,0.4,4.1444,4.2144,24,1.3308,0
163,131,0.1963,45.064,67.7167,16,0.0294,2
20,18,0.1,3.3313,1.526,11,1.8129,0
105,98,0.0667,70.1423,62.6118,26,0.0248,2
128,126,0.0156,46.2909,61.2641,12,0.0273,2
133,111,0.1654,85.2132,32.414,18,0.0266,2
22,5,0.7727,12.1462,8.4687,20,0.1947,1
114,94,0.1754,94.2135,95.3895,22,0.0133,2
131,105,0.1985,59.2915,97.0414,15,0.0173,2
177,173,0.0226,88.1734,72.6633,20,0.0197,2
39,35,0.1026,2.6186,0.5435,30,0.3476,0
29,22,0.2414,1.3228,3.4865,24,1.2358,0
15,15,0.0,1.3827,1.0378,29,0.9993,0
98,81,0.1735,72.4517,59.864,13,0.0145,2
23,2,0.913,5.9752,10.7961,28,0.1164,1
25,22,0.12,1.022,0.6253,20,0.9482,0
120,112,0.0667,91.6663,56.8484,19,0.0138,2
26,2,0.9231,11.7962,12.0792,19,0.0755,1
29,29,0.0,0.5382,3.1631,25,1.9172,0
28,23,0.1786,3.2188,4.1662,25,1.9269,0
28,2,0.9286,7.2346,9.342,27,0.1336,1
29,4,0.8621,12.9986,10.8849,13,0.1298,1
15,14,0.0667,1.9614,4.8756,20,0.7337,0
119,108,0.0924,46.0085,33.0787,12,0.0079,2
20,18,0.1,4.2816,2.1174,10,1.9698,0
19,5,0.7368,7.653,7.0062,11,0.1541,1
16,4,0.75,6.993,13.6026,16,0.0966,1
175,165,0.0571,86.1633,31.4255,21,0.0294,2
24,4,0.8333,6.2639,12.8062,20,0.1323,1
150,134,0.1067,91.7461,91.7533,16,0.0238,2
29,4,0.8621,9.8881,13.0421,18,0.1355,1
29,1,0.9655,9.7732,8.962,11,0.1272,1
25,17,0.32,4.1637,4.723,12,0.6743,0
39,31,0.2051,1.809,1.8195,13,0.7618,0
92,79,0.1413,87.8492,78.3119,30,0.0139,2
156,125,0.1987,52.5765,59.6348,13,0.0057,2
194,176,0.0928,45.958,78.7757,18,0.0153,2
16,15,0.0625,2.8373,2.1929,30,1.1163,0
18,1,0.9444,8.3741,8.064,19,0.1943,1
18,10,0.4444,4.8191,1.2013,18,1.4371,0
19,2,0.8947,11.9801,14.9243,21,0.0792,1
32,29,0.0938,3.4628,3.8343,23,1.6951,0
36,29,0.1944,1.2305,3.4968,10,0.2613,0
27,4,0.8519,10.1288,14.2819,25,0.0565,1
17,4,0.7647,12.6373,5.1245,25,0.1677,1
27,18,0.3333,3.1323,1.7372,25,0.3437,0
26,19,0.2692,3.271,4.9977,29,1.4503,0
27,4,0.8519,6.8291,7.4704,19,0.1136,1
143,128,0.1049,38.0636,38.163,21,0.0216,2
27,1,0.963,9.6788,9.7208,27,0.1548,1
25,4,0.84,12.3008,7.675,11,0.1286,1
27,3,0.8889,12.9123,7.0932,30,0.1803,1
15,4,0.7333,12.3267,12.9754,26,0.1455,1
27,1,0.963,12.4018,7.1547,11,0.1742,1
103,93,0.0971,41.1948,54.4021,18,0.0258,2
192,170,0.1146,78.8913,53.4452,23,0.0104,2
17,2,0.8824,7.1829,13.3768,14,0.1082,1
31,27,0.129,3.182,2.6717,28,1.4682,0
26,22,0.1538,3.2522,1.919,20,1.1068,0
22,14,0.3636,2.7567,3.2847,18,0.3164,0
85,83,0.0235,99.4629,35.2175,29,0.0094,2
35,24,0.3143,1.8448,1.0373,23,1.0251,0
180,152,0.1556,57.5465,53.5555,21,0.0172,2
30,22,0.2667,4.8796,3.6739,30,1.3578,0
18,3,0.8333,7.0854,13.3446,13,0.0899,1
20,2,0.9,12.3769,7.5621,30,0.1155,1
23,22,0.0435,1.8803,2.8325,22,1.9988,0
27,4,0.8519,12.0537,7.1028,13,0.1551,1
136,134,0.0147,33.3412,33.465,13,0.0119,2
16,4,0.75,13.0057,14.7302,10,0.1909,1
30,2,0.9333,9.4989,13.7539,21,0.0921,1
20,1,0.95,8.9662,5.317,13,0.1456,1
25,3,0.88,9.2893,9.5079,20,0.061,1
101,91,0.099,31.8727,38.0522,21,0.013,2
93,80,0.1398,50.2945,90.1753,10,0.0055,2
24,1,0.9583,11.3024,10.4975,12,0.0573,1
141,116,0.1773,55.5098,64.8595,20,0.0159,2
34,20,0.4118,1.9079,4.6558,18,0.9476,0
24,20,0.1667,3.4211,2.6003,17,1.2337,0
27,1,0.963,12.2731,5.1881,14,0.1781,1
165,152,0.0788,34.5083,49.7645,30,0.0259,2
39,25,0.359,1.3652,2.268,28,1.4535,0
38,36,0.0526,3.9331,1.4187,28,1.6128,0
23,14,0.3913,1.9019,2.2264,26,1.1947,0
17,13,0.2353,4.8713,4.6598,21,1.3189,0
33,33,0.0,3.3259,2.7992,22,1.8521,0
17,5,0.7059,8.421,7.1627,27,0.0533,1
17,1,0.9412,14.8476,14.897,26,0.1029,1
16,2,0.875,11.4776,13.5442,12,0.141,1
113,109,0.0354,68.372,89.192,24,0.0117,2
39,31,0.2051,3.9715,2.2981,16,1.1287,0
125,105,0.16,96.7089,57.3894,29,0.0275,2
18,4,0.7778,7.2899,6.7038,13,0.0977,1
26,5,0.8077,8.6991,11.0201,14,0.0545,1
21,15,0.2857,3.4389,2.955,19,0.4931,0
183,183,0.0,95.2167,42.5326,22,0.0275,2
18,4,0.7778,11.8401,10.9935,27,0.0872,1
25,3,0.88,14.741,5.7043,12,0.1541,1
33,30,0.0909,1.1654,4.921,30,1.0394,0
18,11,0.3889,1.6021,2.2912,30,0.5887,0
16,13,0.1875,2.4055,0.9837,20,0.5625,0
22,21,0.0455,3.4115,4.9491,22,1.7194,0
20,3,0.85,11.4102,11.4443,22,0.0713,1
144,115,0.2014,35.1013,36.2368,17,0.0197,2
39,37,0.0513,3.2579,0.9506,22,1.3534,0
15,2,0.8667,14.8792,10.4344,18,0.0868,1
124,118,0.0484,32.5005,75.7159,11,0.028,2
40,31,0.225,2.0638,4.618,20,0.5216,0
22,2,0.9091,5.2353,10.8085,11,0.0549,1
21,4,0.8095,8.5988,12.3787,18,0.1855,1
24,1,0.9583,12.3432,14.7561,13,0.0516,1
87,69,0.2069,44.9103,70.0103,18,0.013,2
24,20,0.1667,1.4431,1.115,28,0.6786,0
22,5,0.7727,8.1584,14.4927,18,0.1889,1
200,189,0.055,41.884,63.0008,17,0.0222,2
113,109,0.0354,82.9962,40.1785,11,0.005,2
26,4,0.8462,6.9496,13.9844,29,0.0761,1
21,2,0.9048,14.4603,9.534,18,0.1427,1
39,38,0.0256,2.5757,2.9978,25,0.3637,0
24,3,0.875,6.0094,14.579,21,0.1167,1
33,26,0.2121,0.8502,2.7302,16,0.2207,0
32,32,0.0,3.2362,3.3155,12,1.929,0
40,40,0.0,1.8425,3.2656,27,0.974,0
18,5,0.7222,12.9807,8.3152,10,0.172,1
28,28,0.0,3.9835,1.2247,11,0.3191,0
116,102,0.1207,58.7527,81.5597,20,0.0098,2
134,117,0.1269,49.5173,83.6947,15,0.0075,2
26,1,0.9615,11.8849,12.8972,16,0.0991,1
18,5,0.7222,9.6831,9.2433,24,0.1832,1
39,34,0.1282,3.8635,4.2277,24,1.5308,0
150,130,0.1333,94.3556,52.6698,29,0.0055,2
23,3,0.8696,14.0755,11.5432,11,0.1601,1
19,2,0.8947,5.9811,14.0334,29,0.1857,1
26,3,0.8846,14.6626,5.0248,14,0.0921,1
180,150,0.1667,33.985,56.5562,25,0.0086,2
172,158,0.0814,78.5436,30.8044,17,0.0089,2
107,85,0.2056,86.9431,82.8129,13,0.0216,2
24,15,0.375,3.4746,2.7914,20,1.4606,0
196,180,0.0816,36.8623,99.8839,21,0.0117,2
28,25,0.1071,1.7433,0.949,28,0.361,0
143,115,0.1958,36.6252,30.0892,10,0.0182,2
129,119,0.0775,94.9342,68.4042,22,0.02,2
172,155,0.0988,43.2427,78.3553,24,0.0275,2
21,13,0.381,4.8631,2.1506,12,1.3142,0
22,1,0.9545,12.2419,6.0388,30,0.1056,1
120,113,0.0583,79.3498,32.0651,11,0.0059,2
120,101,0.1583,59.2818,38.3502,20,0.0111,2
112,101,0.0982,32.8683,85.0546,17,0.0225,2
21,2,0.9048,5.4366,14.7003,11,0.1076,1
27,3,0.8889,8.5964,10.3255,13,0.0527,1
177,160,0.096,69.3258,70.3263,30,0.0083,2
30,5,0.8333,12.0552,14.3272,20,0.1579,1
30,22,0.2667,2.2189,3.0357,12,0.5795,0
27,3,0.8889,10.3541,5.5465,27,0.1234,1
151,140,0.0728,81.9404,50.013,20,0.0264,2
37,34,0.0811,3.1104,1.4107,14,0.9959,0
17,10,0.4118,2.96,2.3572,25,0.7448,0
15,1,0.9333,8.7218,5.1188,10,0.1979,1
19,15,0.2105,1.8388,2.7281,21,1.1528,0
